Word             Count
mischief         1    
Shant            1    
bread            3    
chains           1    
seated           1    
shoulder         1    
search           1    
arches           1    
flamingos        1    
leastat          1    
raven            1    
MAD              1    
mistake          2    
sneezed          1    
Queen            27   
raw              1    
immense          1    
nibbled          2    
often            1    
rush             1    
thousand         1    
whatever         2    
remarking        2    
real             1    
impatiently      2    
breath           2    
cur              1    
trial            4    
chorus           3    
important        3    
their            10   
Dodo             7    
understand       2    
have             19   
As               10   
dropped          4    
hurry            4    
splendidly       1    
returning        1    
got              16   
                 5    
only             14   
locks            1    
Suddenly         3    
lost             2    
me               29   
come             7    
upon             15   
here             14   
found            19   
dipped           1    
straight         1    
Illustration     24   
feet             12   
twice            2    
Hold             1    
written          1    
witness          8    
sorts            1    
STOLE            1    
linked           1    
fly              1    
furious          1    
thenshe          1    
theyve           1    
neither          2    
most             2    
beautiful        2    
lookout          1    
graceful         1    
direction        3    
Of               2    
wouldnt          1    
keep             1    
Explain          1    
quietly          2    
caterpillar      1    
tiptoe           1    
skyrocket        1    
forgetting       1    
hell             1    
IN               1    
seems            2    
children         2    
others           3    
At               9    
AND              3    
Duck             3    
youare           1    
savage           1    
muttering        2    
Curiouser        1    
work             5    
happens          3    
once             12   
hot              2    
rathole          1    
belong           1    
sadly            1    
side             9    
lamps            1    
hurt             3    
saw              5    
like             34   
take             9    
waistcoatpocket  2    
making           3    
but              39   
had              65   
do               26   
was              166  
Wake             1    
Never            1    
butter           3    
theyd            1    
parchment        1    
quarreling       1    
sense            1    
turns            1    
places           1    
velvet           1    
courtiers        1    
cut              1    
Mind             1    
agony            1    
pause            1    
fire             2    
repeated         2    
eggs             3    
puzzled          1    
cant             8    
immediately      1    
wandered         1    
doubt            1    
himWhat          1    
sharp            3    
stairs           1    
resource         1    
shant            3    
Very             2    
guessed          2    
Please           3    
Fury             2    
tale             2    
complained       1    
noise            3    
pointing         1    
Atheling         1    
Lory             2    
subject          2    
beg              3    
est              1    
done             4    
Who              4    
near             11   
gallons          1    
Just             7    
opening          2    
Im               19   
set              8    
same             11   
smaller          1    
right            7    
brightened       1    
finished         3    
sooner           1    
label            1    
tied             1    
shut             3    
How              7    
